"","Country","Ladder","GDP","Support","LifeExp","Freedom","PosAffect","NegAffect","Continent","AA","Asia","Africa","Americas"
"1","Afghanistan",4.22016859054565,1803.14519610063,0.559071779251099,49.871265411377,0.522566199302673,0.564952671527863,0.348332285881042,"Asia",TRUE,TRUE,FALSE,FALSE
"2","Albania",4.51110076904297,10746.1195406045,0.638411462306976,68.6983795166016,0.729818940162659,0.675243735313416,0.321705996990204,"Europe",FALSE,FALSE,FALSE,FALSE
"3","Algeria",5.38817071914673,14032.5943315037,0.748149693012238,64.829948425293,0.720498,0.668838143348694,0.371372014284134,"Africa",TRUE,FALSE,TRUE,FALSE
"4","Argentina",6.42722129821777,18489.4,0.88281911611557,67.4439926147461,0.847702205181122,0.841906726360321,0.311646461486816,"South America",FALSE,FALSE,FALSE,TRUE
"5","Armenia",4.32547187805176,8018.99763856619,0.709218323230743,65.4094696044922,0.610986948013306,0.593600273132324,0.437227815389633,"Europe",FALSE,FALSE,FALSE,FALSE
"6","Australia",7.25008010864258,44191.2212066703,0.942334234714508,72.5216293334961,0.922315716743469,0.790868282318115,0.236085787415504,"Oceania",FALSE,FALSE,FALSE,FALSE
"7","Austria",7.04807186126709,44116.7733376718,0.92631858587265,71.6456527709961,0.88851398229599,0.755902588367462,0.197423845529556,"Europe",FALSE,FALSE,FALSE,FALSE
"8","Azerbaijan",5.30389499664307,16174.6000935256,0.777271032333374,62.0449256896973,0.712573170661926,0.597593486309052,0.191117197275162,"Europe",FALSE,FALSE,FALSE,FALSE
"9","Bahrain",6.16967344284058,44657.458630851,0.86270010471344,65.9639205932617,0.888691067695618,0.787187218666077,0.283466339111328,"Asia",TRUE,TRUE,FALSE,FALSE
"10","Bangladesh",4.5561408996582,3296.34555100036,0.649116933345795,62.0461883544922,0.874700486660004,0.559939086437225,0.235022455453873,"Asia",TRUE,TRUE,FALSE,FALSE
"11","Belarus",5.17789936065674,16069.8175442941,0.926551103591919,65.7647705078125,0.658228814601898,0.55387020111084,0.182106122374535,"Europe",FALSE,FALSE,FALSE,FALSE
"12","Belgium",6.94893646240234,41447.3118895376,0.928964078426361,71.5216751098633,0.865759015083313,0.764590084552765,0.259653389453888,"Europe",FALSE,FALSE,FALSE,FALSE
"13","Benin",4.00735759735107,2041.67000180278,0.492815852165222,50.7692451477051,0.779795229434967,0.608236968517303,0.455767601728439,"Africa",TRUE,FALSE,TRUE,FALSE
"14","Bolivia",5.76972341537476,6614.97623579257,0.795958757400513,60.0456199645996,0.881748735904694,0.783008873462677,0.376412242650986,"South America",FALSE,FALSE,FALSE,TRUE
"15","Bosnia and Herzegovina",5.18086528778076,10302.9127233221,0.807705104351044,67.7755813598633,0.633453726768494,0.640764355659485,0.304080277681351,"Europe",FALSE,FALSE,FALSE,FALSE
"16","Botswana",3.49893665313721,15134.2088018528,0.768302798271179,55.1936225891113,0.851694881916046,0.685666739940643,0.251836597919464,"Africa",TRUE,FALSE,TRUE,FALSE
"17","Brazil",6.37481737136841,13704.9284494925,0.912455141544342,64.830924987793,0.806571543216705,0.763112425804138,0.302083820104599,"South America",FALSE,FALSE,FALSE,TRUE
"18","Bulgaria",4.83756065368652,17437.3015633284,0.926036059856415,68.2297286987305,0.700265526771545,0.621855139732361,0.171699851751328,"Europe",FALSE,FALSE,FALSE,FALSE
"19","Burkina Faso",4.20563459396362,1597.37470719423,0.764401137828827,51.1070022583008,0.644681513309479,0.616066873073578,0.337300181388855,"Africa",TRUE,FALSE,TRUE,FALSE
"20","Cambodia",4.46125936508179,3451.89270896079,0.745901226997375,58.536937713623,0.957821488380432,0.838551998138428,0.398200303316116,"Asia",TRUE,TRUE,FALSE,FALSE
"21","Cameroon",4.81623220443726,3041.22513014296,0.659299790859222,48.3382797241211,0.712507009506226,0.661523461341858,0.3670933842659,"Africa",TRUE,FALSE,TRUE,FALSE
"22","Canada",7.24484586715698,43239.6364139256,0.924392521381378,72.2983016967773,0.91242390871048,0.824586391448975,0.237422868609428,"North America",FALSE,FALSE,FALSE,TRUE
"23","Central African Republic",2.69306111335754,647.9,0.290184170007706,44.0232200622559,0.62405651807785,0.578653812408447,0.49426805973053,"Africa",TRUE,FALSE,TRUE,FALSE
"24","Chad",4.02935028076172,1966.96704822541,0.616204857826233,45.1081428527832,0.52522212266922,0.582458257675171,0.467566758394241,"Africa",TRUE,FALSE,TRUE,FALSE
"25","Chile",6.57905626296997,22248.6255984775,0.841388165950775,71.8311386108398,0.652289748191833,0.869228899478912,0.283042103052139,"South America",FALSE,FALSE,FALSE,TRUE
"26","China",5.32495594024658,14200.2133491769,0.741703033447266,69.0667037963867,0.850067,0.826144397258759,0.145625159144402,"Asia",TRUE,TRUE,FALSE,FALSE
"27","Colombia",6.23371505737305,13177.0353891801,0.881900370121002,64.0060577392578,0.834966123104095,0.793531477451324,0.294222772121429,"South America",FALSE,FALSE,FALSE,TRUE
"28","Congo (Brazzaville)",4.11949348449707,6070.09868782355,0.615449011325836,53.8988647460938,0.785906553268433,0.610304951667786,0.303666710853577,"Africa",TRUE,FALSE,TRUE,FALSE
"29","Congo (Kinshasa)",4.52193546295166,759.704335312275,0.864154517650604,50.2900810241699,0.637366712093353,0.646269500255585,0.22241148352623,"Africa",TRUE,FALSE,TRUE,FALSE
"30","Costa Rica",7.13561773300171,14901.2514389823,0.900701284408569,69.6617736816406,0.872971951961517,0.873584389686584,0.281422287225723,"North America",FALSE,FALSE,FALSE,TRUE
"31","Cyprus",5.79461860656738,30428.1067543588,0.786438465118408,72.6419372558594,0.756220996379852,0.742049396038055,0.336344689130783,"Europe",FALSE,FALSE,FALSE,FALSE
"32","Czech Republic",6.73562717437744,30435.4493216179,0.930592894554138,69.4207305908203,0.850328266620636,0.755701959133148,0.201041638851166,"Europe",FALSE,FALSE,FALSE,FALSE
